time,open,high,low,close,volume
2023-03-14 14:45:00,2.295,2.295,2.27,2.27,396
2023-03-14 14:30:00,2.27,2.295,2.27,2.27,4611
2023-03-14 14:15:00,2.2701,2.2701,2.2701,2.2701,1934
2023-03-14 11:45:00,2.295,2.295,2.295,2.295,200
2023-03-14 10:45:00,2.295,2.295,2.295,2.295,1800
2023-03-14 10:00:00,2.31,2.31,2.29,2.31,505
2023-03-14 09:45:00,2.23,2.33,2.23,2.33,7982
2023-03-13 16:00:00,2.2676,2.28,2.23,2.25,1867
2023-03-13 15:45:00,2.25,2.2889,2.24,2.2889,900
2023-03-13 15:30:00,2.26,2.26,2.25,2.25,30115
2023-03-13 15:00:00,2.33,2.33,2.33,2.33,100
2023-03-13 14:45:00,2.28,2.28,2.2657,2.2657,3200
2023-03-13 14:30:00,2.28,2.3,2.25,2.26,33790
2023-03-13 14:15:00,2.28,2.34,2.28,2.34,4555
2023-03-13 14:00:00,2.28,2.35,2.28,2.35,9100
2023-03-13 13:45:00,2.32,2.32,2.32,2.32,200
2023-03-13 13:30:00,2.29,2.29,2.28,2.28,86705
2023-03-13 13:15:00,2.29,2.3,2.29,2.29,11200
2023-03-13 12:30:00,2.35,2.35,2.2801,2.2801,415
2023-03-13 12:15:00,2.35,2.35,2.31,2.31,2206
2023-03-13 11:45:00,2.39,2.39,2.39,2.39,100
2023-03-13 11:30:00,2.4,2.4,2.4,2.4,100
2023-03-13 11:00:00,2.35,2.35,2.35,2.35,100
2023-03-13 10:45:00,2.3,2.46,2.28,2.37,15410
2023-03-13 10:00:00,2.39,2.39,2.39,2.39,100
2023-03-13 09:45:00,2.28,2.29,2.28,2.29,1458
2023-03-10 16:00:00,2.32,2.32,2.32,2.32,100
2023-03-10 13:30:00,2.33,2.33,2.2801,2.2801,10000
2023-03-10 13:15:00,2.33,2.33,2.32,2.32,5401
2023-03-10 12:00:00,2.44,2.44,2.44,2.44,100
2023-03-10 10:15:00,2.31,2.31,2.31,2.31,299
2023-03-10 09:45:00,2.34,2.34,2.34,2.34,223
2023-03-09 16:00:00,2.32,2.3548,2.32,2.33,13000
2023-03-09 15:45:00,2.33,2.34,2.32,2.32,19156
2023-03-09 15:30:00,2.3362,2.34,2.33,2.33,11088
2023-03-09 13:45:00,2.33,2.33,2.33,2.33,121
2023-03-09 11:30:00,2.43,2.43,2.43,2.43,100
2023-03-09 11:00:00,2.36,2.36,2.3591,2.3591,9220
2023-03-09 10:45:00,2.35,2.36,2.3492,2.3492,1000
2023-03-09 10:30:00,2.3073,2.3073,2.3073,2.3073,300
2023-03-09 10:15:00,2.37,2.37,2.3591,2.36,1100
2023-03-09 09:45:00,2.36,2.37,2.3591,2.37,2205
2023-03-08 16:00:00,2.41,2.41,2.375,2.375,2005
2023-03-08 14:15:00,2.43,2.43,2.35,2.35,371
2023-03-08 13:00:00,2.36,2.36,2.36,2.36,100
2023-03-08 12:00:00,2.3668,2.3668,2.3668,2.3668,369
2023-03-08 10:15:00,2.43,2.4312,2.401,2.401,412
2023-03-08 10:00:00,2.32,2.475,2.3072,2.475,9561
2023-03-08 09:45:00,2.31,2.35,2.31,2.35,321
2023-03-07 16:00:00,2.3,2.3,2.29,2.29,698
2023-03-07 15:00:00,2.29,2.29,2.29,2.29,502
2023-03-07 14:15:00,2.295,2.3,2.29,2.29,450
2023-03-07 13:30:00,2.3884,2.3884,2.3884,2.3884,500
2023-03-07 10:15:00,2.35,2.36,2.28,2.28,2003
2023-03-06 15:00:00,2.41,2.41,2.41,2.41,199
2023-03-06 14:45:00,2.38,2.38,2.38,2.38,272
2023-03-06 14:00:00,2.41,2.41,2.41,2.41,600
2023-03-06 13:15:00,2.46,2.46,2.46,2.46,104
2023-03-06 13:00:00,2.4307,2.4307,2.4307,2.4307,300
2023-03-06 09:45:00,2.48,2.48,2.48,2.48,1103
2023-03-03 16:00:00,2.44,2.44,2.44,2.44,366
2023-03-03 15:45:00,2.37,2.37,2.37,2.37,268
2023-03-03 15:30:00,2.35,2.5,2.33,2.37,4527
2023-03-03 15:15:00,2.39,2.41,2.3891,2.3891,3125
2023-03-03 13:45:00,2.32,2.32,2.32,2.32,116
2023-03-03 12:45:00,2.35,2.35,2.35,2.35,500
2023-03-03 12:15:00,2.305,2.34,2.305,2.34,601
2023-03-03 11:00:00,2.305,2.305,2.305,2.305,100
2023-03-03 09:45:00,2.37,2.375,2.35,2.35,6679
2023-03-02 14:45:00,2.33,2.33,2.33,2.33,1000
2023-03-02 14:00:00,2.26,2.26,2.26,2.26,250
2023-03-02 13:45:00,2.31,2.31,2.28,2.3,5601
2023-03-02 13:30:00,2.315,2.315,2.315,2.315,222
2023-03-02 12:30:00,2.33,2.33,2.33,2.33,200
2023-03-02 11:15:00,2.31,2.31,2.3011,2.31,600
2023-03-02 10:00:00,2.3369,2.3369,2.3369,2.3369,220
2023-03-02 09:45:00,2.28,2.28,2.28,2.28,163
2023-03-01 16:00:00,2.32,2.32,2.32,2.32,318
2023-03-01 15:45:00,2.34,2.34,2.34,2.34,200
2023-03-01 15:30:00,2.32,2.32,2.32,2.32,115
2023-03-01 15:00:00,2.3163,2.3163,2.3163,2.3163,2247
2023-03-01 14:15:00,2.345,2.35,2.29,2.29,5000
2023-03-01 13:00:00,2.32,2.32,2.32,2.32,5000
2023-03-01 11:30:00,2.36,2.36,2.3532,2.36,700
2023-03-01 11:15:00,2.36,2.36,2.36,2.36,440
2023-03-01 11:00:00,2.333,2.37,2.2801,2.281,8622
2023-03-01 10:15:00,2.4,2.4,2.4,2.4,105
2023-03-01 09:45:00,2.52,2.52,2.52,2.52,1000
2023-02-28 16:00:00,2.35,2.39,2.32,2.345,11438
2023-02-28 15:45:00,2.395,2.4,2.3501,2.3501,2450
2023-02-28 15:30:00,2.3996,2.42,2.375,2.38,3850
2023-02-28 15:15:00,2.36,2.39,2.36,2.38,5550
2023-02-28 15:00:00,2.359,2.36,2.33,2.36,14665
2023-02-28 14:45:00,2.39,2.3999,2.3,2.3447,8908
2023-02-28 14:30:00,2.39,2.4,2.39,2.4,3600
2023-02-28 13:45:00,2.405,2.405,2.38,2.4,5605
2023-02-28 12:15:00,2.4,2.4,2.4,2.4,500
2023-02-28 11:30:00,2.4,2.4,2.385,2.4,6700
2023-02-28 11:15:00,2.44,2.44,2.44,2.44,1000
2023-02-28 11:00:00,2.4,2.4007,2.37,2.37,3800
2023-02-28 10:45:00,2.4199,2.4199,2.4199,2.4199,499
2023-02-28 10:30:00,2.4091,2.41,2.4027,2.41,602
2023-02-28 09:45:00,2.47,2.47,2.47,2.47,1043
2023-02-27 15:45:00,2.425,2.43,2.38,2.41,5603
2023-02-27 15:15:00,2.45,2.45,2.45,2.45,400
2023-02-27 14:45:00,2.475,2.475,2.475,2.475,100
2023-02-27 13:30:00,2.525,2.56,2.44,2.45,7100
2023-02-27 13:00:00,2.56,2.5685,2.55,2.5685,984
2023-02-27 12:00:00,2.52,2.58,2.52,2.54,7273
2023-02-27 11:45:00,2.44,2.47,2.425,2.47,8775
2023-02-27 10:45:00,2.4178,2.4178,2.4178,2.4178,313
2023-02-27 10:00:00,2.47,2.47,2.47,2.47,500
2023-02-27 09:45:00,2.38,2.4,2.38,2.3905,4694
2023-02-24 16:00:00,2.425,2.45,2.425,2.45,1800
2023-02-24 15:30:00,2.44,2.45,2.4394,2.4394,2000
2023-02-24 15:00:00,2.42,2.42,2.4,2.4052,3591
2023-02-24 14:45:00,2.4164,2.4164,2.4164,2.4164,499
2023-02-24 14:30:00,2.46,2.46,2.42,2.42,4022
2023-02-24 14:00:00,2.48,2.48,2.48,2.48,400
2023-02-24 13:45:00,2.4964,2.4964,2.4964,2.4964,100
2023-02-24 13:15:00,2.4801,2.4801,2.4801,2.4801,470
2023-02-24 12:45:00,2.53,2.53,2.48,2.48,7600
2023-02-24 11:45:00,2.5001,2.5001,2.5001,2.5001,4500
2023-02-24 11:00:00,2.515,2.54,2.515,2.54,1100
2023-02-24 10:15:00,2.51,2.51,2.47,2.49,6140
2023-02-24 09:45:00,2.63,2.63,2.63,2.63,2000
2023-02-23 19:30:00,2.62,2.62,2.62,2.62,350
2023-02-23 16:00:00,2.53,2.53,2.5,2.5,416
2023-02-23 15:45:00,2.52,2.52,2.52,2.52,200
2023-02-23 15:30:00,2.53,2.53,2.53,2.53,110
2023-02-23 15:15:00,2.525,2.53,2.52,2.52,5490
2023-02-23 14:00:00,2.57,2.57,2.57,2.57,524
2023-02-23 11:45:00,2.538,2.58,2.5362,2.58,3344
2023-02-23 10:15:00,2.64,2.64,2.64,2.64,100
2023-02-23 09:45:00,2.58,2.58,2.58,2.58,196
2023-02-22 16:00:00,2.54,2.54,2.54,2.54,400
2023-02-22 14:45:00,2.56,2.56,2.56,2.56,100
2023-02-22 14:30:00,2.545,2.545,2.52,2.54,5000
2023-02-22 14:00:00,2.525,2.525,2.525,2.525,100
2023-02-22 13:30:00,2.54,2.54,2.5228,2.54,300
2023-02-22 13:15:00,2.525,2.53,2.52,2.52,400
2023-02-22 11:30:00,2.56,2.58,2.56,2.58,2625
2023-02-22 09:45:00,2.65,2.65,2.5668,2.5668,2577
2023-02-21 15:45:00,2.5477,2.5477,2.5477,2.5477,420
2023-02-21 11:00:00,2.6358,2.6358,2.6358,2.6358,420
2023-02-21 09:45:00,2.68,2.68,2.6604,2.6604,2051
